"STATISTIC Label","Year","Single year of age","Females","Males","All persons"
"Mid-year population estimate",1976,"79",3451,1933,5384
"Mid-year population estimate",1976,"80",3229,1796,5025
"Mid-year population estimate",1976,"81",2831,1537,4368
"Mid-year population estimate",1976,"82",2517,1296,3813
"Mid-year population estimate",1976,"83",2264,1112,3376
"Mid-year population estimate",1976,"84",1872,913,2785
"Mid-year population estimate",1976,"85",1484,840,2324
"Mid-year population estimate",1976,"86",1274,658,1932
"Mid-year population estimate",1976,"87",1423,612,2035
"Mid-year population estimate",1976,"88",910,247,1157
"Mid-year population estimate",1976,"89",713,203,916
"Mid-year population estimate",1976,"90",1586,367,1953
"Mid-year population estimate",1976,"All",769476,754045,1523521
"Mid-year population estimate",1977,"0",12768,13192,25960
"Mid-year population estimate",1977,"1",12404,13274,25678
"Mid-year population estimate",1977,"2",12544,13595,26139
"Mid-year population estimate",1977,"3",13042,14160,27202
"Mid-year population estimate",1977,"4",13350,14668,28018
"Mid-year population estimate",1977,"5",13650,15057,28707
"Mid-year population estimate",1977,"6",14271,14910,29181
"Mid-year population estimate",1977,"7",14363,15032,29395
"Mid-year population estimate",1977,"8",14587,15238,29825
"Mid-year population estimate",1977,"9",14793,15562,30355
"Mid-year population estimate",1977,"10",14834,15610,30444
"Mid-year population estimate",1977,"11",15167,16224,31391
"Mid-year population estimate",1977,"12",15600,16550,32150
"Mid-year population estimate",1977,"13",15439,16172,31611
"Mid-year population estimate",1977,"14",14883,15711,30594
"Mid-year population estimate",1977,"15",14563,14843,29406
"Mid-year population estimate",1977,"16",13948,14189,28137
"Mid-year population estimate",1977,"17",13329,13832,27161
"Mid-year population estimate",1977,"18",12642,12686,25328
"Mid-year population estimate",1977,"19",12380,12446,24826
"Mid-year population estimate",1977,"20",11856,12848,24704
"Mid-year population estimate",1977,"21",10742,12618,23360
"Mid-year population estimate",1977,"22",10047,12150,22197
"Mid-year population estimate",1977,"23",9798,11952,21750
"Mid-year population estimate",1977,"24",9639,11642,21281
"Mid-year population estimate",1977,"25",9372,10806,20178
"Mid-year population estimate",1977,"26",9402,10770,20172
"Mid-year population estimate",1977,"27",9585,10688,20273
"Mid-year population estimate",1977,"28",9693,10576,20269
"Mid-year population estimate",1977,"29",9814,10587,20401
"Mid-year population estimate",1977,"30",9939,10607,20546
"Mid-year population estimate",1977,"31",9374,9840,19214
"Mid-year population estimate",1977,"32",9361,9539,18900
"Mid-year population estimate",1977,"33",9492,9713,19205
"Mid-year population estimate",1977,"34",9482,9732,19214
"Mid-year population estimate",1977,"35",8555,8776,17331
"Mid-year population estimate",1977,"36",8162,8581,16743
"Mid-year population estimate",1977,"37",8247,8551,16798
"Mid-year population estimate",1977,"38",8321,8586,16907
"Mid-year population estimate",1977,"39",8030,8403,16433
"Mid-year population estimate",1977,"40",8166,8323,16489
"Mid-year population estimate",1977,"41",8203,7987,16190
"Mid-year population estimate",1977,"42",7931,7653,15584
"Mid-year population estimate",1977,"43",7804,7578,15382
"Mid-year population estimate",1977,"44",8031,7539,15570
"Mid-year population estimate",1977,"45",7905,7526,15431
"Mid-year population estimate",1977,"46",8114,7763,15877
"Mid-year population estimate",1977,"47",8089,7685,15774
"Mid-year population estimate",1977,"48",7907,7641,15548
"Mid-year population estimate",1977,"49",7866,7498,15364
"Mid-year population estimate",1977,"50",8049,7757,15806
"Mid-year population estimate",1977,"51",8070,7476,15546
"Mid-year population estimate",1977,"52",7825,7345,15170
"Mid-year population estimate",1977,"53",8050,7358,15408
"Mid-year population estimate",1977,"54",8016,7385,15401
"Mid-year population estimate",1977,"55",8213,7559,15772
"Mid-year population estimate",1977,"56",8408,7716,16124
"Mid-year population estimate",1977,"57",8286,7602,15888
"Mid-year population estimate",1977,"58",7549,6835,14384
"Mid-year population estimate",1977,"59",6859,6052,12911
"Mid-year population estimate",1977,"60",6917,6622,13539
"Mid-year population estimate",1977,"61",7200,6713,13913
"Mid-year population estimate",1977,"62",7679,6881,14560
"Mid-year population estimate",1977,"63",7541,6804,14345
"Mid-year population estimate",1977,"64",7632,6778,14410
"Mid-year population estimate",1977,"65",7392,6028,13420
"Mid-year population estimate",1977,"66",7510,5913,13423
"Mid-year population estimate",1977,"67",7121,5620,12741
"Mid-year population estimate",1977,"68",6853,5367,12220
"Mid-year population estimate",1977,"69",6526,5037,11563
"Mid-year population estimate",1977,"70",6400,4697,11097
"Mid-year population estimate",1977,"71",6189,4247,10436
"Mid-year population estimate",1977,"72",5882,3919,9801
"Mid-year population estimate",1977,"73",5451,3620,9071
"Mid-year population estimate",1977,"74",5122,3278,8400
"Mid-year population estimate",1977,"75",4838,2949,7787
"Mid-year population estimate",1977,"76",4640,2875,7515
"Mid-year population estimate",1977,"77",4209,2565,6774
"Mid-year population estimate",1977,"78",3739,2291,6030
"Mid-year population estimate",1977,"79",3307,1988,5295
"Mid-year population estimate",1977,"80",3172,1710,4882
"Mid-year population estimate",1977,"81",2926,1562,4488
"Mid-year population estimate",1977,"82",2545,1346,3891
"Mid-year population estimate",1977,"83",2212,1098,3310
"Mid-year population estimate",1977,"84",1966,914,2880
"Mid-year population estimate",1977,"85",1634,766,2400
"Mid-year population estimate",1977,"86",1256,689,1945
"Mid-year population estimate",1977,"87",1041,533,1574
"Mid-year population estimate",1977,"88",1238,500,1738
"Mid-year population estimate",1977,"89",709,140,849
"Mid-year population estimate",1977,"90",1726,284,2010
"Mid-year population estimate",1977,"All",769382,753928,1523310
"Mid-year population estimate",1978,"0",12769,13124,25893
"Mid-year population estimate",1978,"1",12609,13052,25661
"Mid-year population estimate",1978,"2",12284,13173,25457
"Mid-year population estimate",1978,"3",12427,13496,25923
"Mid-year population estimate",1978,"4",12927,14063,26990
"Mid-year population estimate",1978,"5",13277,14594,27871
"Mid-year population estimate",1978,"6",13579,14985,28564
"Mid-year population estimate",1978,"7",14200,14834,29034
"Mid-year population estimate",1978,"8",14287,14962,29249
"Mid-year population estimate",1978,"9",14518,15168,29686
"Mid-year population estimate",1978,"10",14743,15510,30253
"Mid-year population estimate",1978,"11",14785,15557,30342
"Mid-year population estimate",1978,"12",15115,16168,31283
"Mid-year population estimate",1978,"13",15548,16497,32045
"Mid-year population estimate",1978,"14",15387,16117,31504
"Mid-year population estimate",1978,"15",14753,15548,30301
"Mid-year population estimate",1978,"16",14430,14685,29115
"Mid-year population estimate",1978,"17",13834,14433,28267
"Mid-year population estimate",1978,"18",13179,13217,26396
"Mid-year population estimate",1978,"19",12517,12573,25090
"Mid-year population estimate",1978,"20",12177,13109,25286
"Mid-year population estimate",1978,"21",11630,12582,24212
"Mid-year population estimate",1978,"22",10522,12347,22869
"Mid-year population estimate",1978,"23",9830,11887,21717
"Mid-year population estimate",1978,"24",9576,11685,21261
"Mid-year population estimate",1978,"25",9505,10992,20497
"Mid-year population estimate",1978,"26",9263,10690,19953
"Mid-year population estimate",1978,"27",9299,10653,19952
"Mid-year population estimate",1978,"28",9475,10578,20053
"Mid-year population estimate",1978,"29",9585,10467,20052
"Mid-year population estimate",1978,"30",9744,10320,20064
"Mid-year population estimate",1978,"31",9865,10550,20415
"Mid-year population estimate",1978,"32",9305,9778,19083
"Mid-year population estimate",1978,"33",9290,9482,18772
"Mid-year population estimate",1978,"34",9421,9657,19078
"Mid-year population estimate",1978,"35",9431,9509,18940
"Mid-year population estimate",1978,"36",8508,8714,17222
"Mid-year population estimate",1978,"37",8115,8518,16633
"Mid-year population estimate",1978,"38",8200,8498,16698
"Mid-year population estimate",1978,"39",8274,8518,16792
"Mid-year population estimate",1978,"40",7990,8216,16206
"Mid-year population estimate",1978,"41",8128,8272,16400
"Mid-year population estimate",1978,"42",8160,7931,16091
"Mid-year population estimate",1978,"43",7888,7604,15492
"Mid-year population estimate",1978,"44",7762,7518,15280
"Mid-year population estimate",1978,"45",7972,7432,15404
"Mid-year population estimate",1978,"46",7850,7454,15304
"Mid-year population estimate",1978,"47",8051,7696,15747
"Mid-year population estimate",1978,"48",8017,7606,15623
"Mid-year population estimate",1978,"49",7845,7550,15395
"Mid-year population estimate",1978,"50",7784,7380,15164
"Mid-year population estimate",1978,"51",7964,7652,15616
"Mid-year population estimate",1978,"52",7974,7348,15322
"Mid-year population estimate",1978,"53",7726,7232,14958
"Mid-year population estimate",1978,"54",7942,7238,15180
"Mid-year population estimate",1978,"55",7928,7240,15168
"Mid-year population estimate",1978,"56",8109,7420,15529
"Mid-year population estimate",1978,"57",8282,7537,15819
"Mid-year population estimate",1978,"58",8163,7447,15610
"Mid-year population estimate",1978,"59",7431,6673,14104
"Mid-year population estimate",1978,"60",6793,6326,13119
"Mid-year population estimate",1978,"61",6826,6411,13237
"Mid-year population estimate",1978,"62",7087,6483,13570
"Mid-year population estimate",1978,"63",7552,6644,14196
"Mid-year population estimate",1978,"64",7404,6528,13932
"Mid-year population estimate",1978,"65",7455,6039,13494
"Mid-year population estimate",1978,"66",7223,5796,13019
"Mid-year population estimate",1978,"67",7336,5680,13016
"Mid-year population estimate",1978,"68",6957,5364,12321
"Mid-year population estimate",1978,"69",6666,5107,11773
"Mid-year population estimate",1978,"70",6335,4761,11096
"Mid-year population estimate",1978,"71",6184,4435,10619
"Mid-year population estimate",1978,"72",5969,3974,9943
"Mid-year population estimate",1978,"73",5645,3645,9290
"Mid-year population estimate",1978,"74",5209,3352,8561
"Mid-year population estimate",1978,"75",4858,2983,7841
"Mid-year population estimate",1978,"76",4549,2667,7216
"Mid-year population estimate",1978,"77",4374,2584,6958
"Mid-year population estimate",1978,"78",3938,2284,6222
"Mid-year population estimate",1978,"79",3458,2045,5503
"Mid-year population estimate",1978,"80",3044,1770,4814
"Mid-year population estimate",1978,"81",2868,1515,4383
"Mid-year population estimate",1978,"82",2646,1367,4013
"Mid-year population estimate",1978,"83",2270,1142,3412
"Mid-year population estimate",1978,"84",1949,922,2871
"Mid-year population estimate",1978,"85",1698,748,2446
"Mid-year population estimate",1978,"86",1411,621,2032
"Mid-year population estimate",1978,"87",1044,542,1586
"Mid-year population estimate",1978,"88",851,409,1260
"Mid-year population estimate",1978,"89",1064,394,1458
"Mid-year population estimate",1978,"90",1842,297,2139
"Mid-year population estimate",1978,"All",769654,753571,1523225
"Mid-year population estimate",1979,"0",13261,13551,26812
"Mid-year population estimate",1979,"1",12694,13012,25706
"Mid-year population estimate",1979,"2",12565,12963,25528
"Mid-year population estimate",1979,"3",12245,13085,25330
"Mid-year population estimate",1979,"4",12389,13410,25799
"Mid-year population estimate",1979,"5",12890,14010,26900
"Mid-year population estimate",1979,"6",13241,14496,27737
"Mid-year population estimate",1979,"7",13542,14929,28471
"Mid-year population estimate",1979,"8",14160,14778,28938
"Mid-year population estimate",1979,"9",14246,14911,29157
"Mid-year population estimate",1979,"10",14475,15116,29591
"Mid-year population estimate",1979,"11",14704,15458,30162
"Mid-year population estimate",1979,"12",14746,15506,30252
"Mid-year population estimate",1979,"13",15074,16113,31187
"Mid-year population estimate",1979,"14",15504,16438,31942
"Mid-year population estimate",1979,"15",15296,16022,31318
"Mid-year population estimate",1979,"16",14664,15450,30114
"Mid-year population estimate",1979,"17",14359,14945,29304
"Mid-year population estimate",1979,"18",13731,13763,27494
"Mid-year population estimate",1979,"19",13089,13137,26226
"Mid-year population estimate",1979,"20",12442,13447,25889
"Mid-year population estimate",1979,"21",12073,12980,25053
"Mid-year population estimate",1979,"22",11528,12468,23996
"Mid-year population estimate",1979,"23",10422,12231,22653
"Mid-year population estimate",1979,"24",9732,11775,21507
"Mid-year population estimate",1979,"25",9514,10979,20493
"Mid-year population estimate",1979,"26",9470,10857,20327
"Mid-year population estimate",1979,"27",9228,10559,19787
"Mid-year population estimate",1979,"28",9261,10518,19779
"Mid-year population estimate",1979,"29",9441,10451,19892
"Mid-year population estimate",1979,"30",9539,10232,19771
"Mid-year population estimate",1979,"31",9705,10253,19958
"Mid-year population estimate",1979,"32",9833,10486,20319
"Mid-year population estimate",1979,"33",9270,9710,18980
"Mid-year population estimate",1979,"34",9256,9416,18672
"Mid-year population estimate",1979,"35",9358,9470,18828
"Mid-year population estimate",1979,"36",9382,9462,18844
"Mid-year population estimate",1979,"37",8456,8668,17124
"Mid-year population estimate",1979,"38",8061,8471,16532
"Mid-year population estimate",1979,"39",8151,8457,16608
"Mid-year population estimate",1979,"40",8245,8342,16587
"Mid-year population estimate",1979,"41",7957,8168,16125
"Mid-year population estimate",1979,"42",8096,8225,16321
"Mid-year population estimate",1979,"43",8128,7884,16012
"Mid-year population estimate",1979,"44",7848,7552,15400
"Mid-year population estimate",1979,"45",7721,7414,15135
"Mid-year population estimate",1979,"46",7928,7385,15313
"Mid-year population estimate",1979,"47",7810,7389,15199
